ALABAMA,,,,,,,
Inyo NF - Ancient Bristlecone Pine Visitor Center,760-873-2500,Big Pine,CA,http://www.fs.fed.us/r5/inyo/,YES,YES,YES
Inyo NF - Interagency Visitor Center,760-876-6222,Lone Pine,CA,http://www.fs.fed.us/r5/inyo/,YES,YES,YES
Inyo NF - Mammoth Lakes Center,760-924-5500,Mammoth Lakes,CA,http://www.fs.fed.us/r5/inyo/,YES,YES,YES
Inyo NF - Mono Basin Visitor Center,760-647-3044,Lee Vining,CA,http://www.fs.fed.us/r5/inyo/,YES,YES,YES
Inyo NF - White Mountain Ranger Station,760-873-2500,Bishop,CA,http://www.fs.fed.us/r5/inyo/,YES,YES,YES
Joshua Tree National Park ,760-367-5522,Twentynine Palms,CA,http://www.nps.gov/jotr/,YES,YES,YES
King Range National Conservation Area,707-986-5400,Whitethorn,CA,http://www.blm.gov/ca/st/en/fo/arcata/kingrange/index.html,YES,YES,YES
Klamath NF - Goosenest District,530-398-4391,Macdoel,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES,YES
Klamath NF - Happy Camp & Oak Knoll Districts,530-493-2243,Happy Camp,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES,YES
Klamath NF - Main Office,530-842-6131,Yreka,CA,http://www.fs.fed.us/r5/klamath/contact/,YES,YES,YES
Klamath NF - Scott River & Salmon River Districts,530-468-5351,Fort Jones,CA,http://www.fs.fed.us/r5/klamath/contact/,NO,YES,YES
Lake Tahoe Basin Management Unit - Main Office,530-543-2694,South Lake Tahoe,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES,YES
Lake Tahoe Basin Management Unit - North Shore Office,530-583-3593,Dollar Point,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES,YES
Lake Tahoe Basin Management Unit - Taylor Creek Visitors Center,530-543-2674,South Lake Tahoe,CA,http://www.fs.fed.us/r5/ltbmu/contact/,YES,YES,YES
